"dim","distribution","ll_true_avg","ll_param_avg","ll_trtf_avg","ll_kernel_avg","delta_ll_param_avg","delta_ll_trtf","delta_ll_kernel"
1,"norm",-1.404,-1.405,-1.44592020873011,-1.39461283601555,0.001,0.0415544425821208,-0.00975293013243816
2,"t",-1.675,-1.668,-1.98747616664629,-1.96202194394083,-0.007,0.312800803924738,0.287346581219276
3,"laplace",-1.429,-1.446,-1.56017003185937,-1.45457489665245,0.017,0.131588545449827,0.0259934102429098
4,"logis",-1.988,-1.993,-2.00564950425282,-2.1887577076535,0.005,0.0180706901555041,0.201178893556187
